======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
SEPARATOR       | ,                    | L:21  | C:23 
IDENTIFIER      | type                 | L:21  | C:25 
SEPARATOR       | ,                    | L:21  | C:29 
IDENTIFIER      | lexeme               | L:21  | C:31 
OPERATOR        | .                    | L:21  | C:37 
IDENTIFIER      | replace              | L:21  | C:38 
SEPARATOR       | (                    | L:21  | C:45 
STRINGLIT       | "\n"                 | L:21  | C:46 
SEPARATOR       | ,                    | L:21  | C:50 
STRINGLIT       | "\\n"                | L:21  | C:52 
SEPARATOR       | )                    | L:21  | C:57 
SEPARATOR       | ,                    | L:21  | C:58 
IDENTIFIER      | line                 | L:21  | C:60 
SEPARATOR       | ,                    | L:21  | C:64 
IDENTIFIER      | column               | L:21  | C:66 
SEPARATOR       | )                    | L:21  | C:72 
SEPARATOR       | ;                    | L:21  | C:73 
SEPARATOR       | }                    | L:22  | C:9  
SEPARATOR       | }                    | L:23  | C:5  
KEYWORD         | private              | L:25  | C:5  
KEYWORD         | static               | L:25  | C:13 
KEYWORD         | final                | L:25  | C:20 
IDENTIFIER      | String               | L:25  | C:26 
IDENTIFIER      | KW_PATTERN           | L:25  | C:33 
OPERATOR        | =                    | L:25  | C:44 
STRINGLIT       | "\\b(abstract|assert|boolean|break|byte|case|catch|char|" | L:26  | C:9  
OPERATOR        | +                    | L:26  | C:67 
STRINGLIT       | "class|const|continue|default|do|double|else|enum|extends|" | L:27  | C:9  
OPERATOR        | +                    | L:27  | C:69 
STRINGLIT       | "final|finally|float|for|if|implements|import|instanceof|" | L:28  | C:9  
OPERATOR        | +                    | L:28  | C:68 
STRINGLIT       | "int|interface|long|new|package|private|protected|public|" | L:29  | C:9  
OPERATOR        | +                    | L:29  | C:68 
STRINGLIT       | "return|short|static|super|switch|synchronized|this|throw|" | L:30  | C:9  
OPERATOR        | +                    | L:30  | C:69 
STRINGLIT       | "throws|try|void|volatile|while|true|false|null)\\b" | L:31  | C:9  
SEPARATOR       | ;                    | L:31  | C:61 
KEYWORD         | private              | L:33  | C:5  
KEYWORD         | static               | L:33  | C:13 
